enrichment_ratio	Category
3.3461538461538463	DHS w/out footprints
3.2222222222222223	DHS w/out footprints
3.8666666666666667	DHS w/out footprints
3	DHS w/out footprints
3.2222222222222223	DHS w/out footprints
3.2830188679245285	DHS w/out footprints
3	DHS w/out footprints
3.1636363636363636	DHS w/out footprints
5.117647058823529	DHS w/out footprints
3.625	DHS w/out footprints
3.411764705882353	DHS w/out footprints
3.5510204081632653	DHS w/out footprints
4.2439024390243905	DHS w/out footprints
2.806451612903226	DHS w/out footprints
2.8524590163934427	DHS w/out footprints
3.8666666666666667	DHS w/out footprints
3.8666666666666667	DHS w/out footprints
3.107142857142857	DHS w/out footprints
2.8524590163934427	DHS w/out footprints
3.3461538461538463	DHS w/out footprints
3.2830188679245285	DHS w/out footprints
4.046511627906977	DHS w/out footprints
3.48	DHS w/out footprints
3.48	DHS w/out footprints
3.782608695652174	DHS w/out footprints
2.761904761904762	DHS w/out footprints
3.9545454545454546	DHS w/out footprints
3.2830188679245285	DHS w/out footprints
3.2830188679245285	DHS w/out footprints
3.9545454545454546	DHS w/out footprints
3.625	DHS w/out footprints
3.48	DHS w/out footprints
3.0526315789473686	DHS w/out footprints
3.48	DHS w/out footprints
3.2830188679245285	DHS w/out footprints
3.702127659574468	DHS w/out footprints
3.702127659574468	DHS w/out footprints
3.625	DHS w/out footprints
2.4507042253521125	DHS w/out footprints
3.0526315789473686	DHS w/out footprints
3.48	DHS w/out footprints
3.48	DHS w/out footprints
4.142857142857143	DHS w/out footprints
3.9545454545454546	DHS w/out footprints
3.5510204081632653	DHS w/out footprints
3.107142857142857	DHS w/out footprints
4.046511627906977	DHS w/out footprints
2.806451612903226	DHS w/out footprints
3.9545454545454546	DHS w/out footprints
4.142857142857143	DHS w/out footprints
4.578947368421052	DHS w/out footprints
4.2439024390243905	DHS w/out footprints
3.5510204081632653	DHS w/out footprints
3.782608695652174	DHS w/out footprints
