enrichment_ratio	Category
4.091254752851711	DHS w/out footprints
5.051643192488263	DHS w/out footprints
4.637931034482759	DHS w/out footprints
4.483333333333333	DHS w/out footprints
4.286852589641434	DHS w/out footprints
3.829181494661922	DHS w/out footprints
5.051643192488263	DHS w/out footprints
5.1980676328502415	DHS w/out footprints
4.252964426877471	DHS w/out footprints
4.5210084033613445	DHS w/out footprints
4.95852534562212	DHS w/out footprints
4.540084388185654	DHS w/out footprints
4.678260869565217	DHS w/out footprints
5.099526066350711	DHS w/out footprints
4.186770428015564	DHS w/out footprints
4.981481481481482	DHS w/out footprints
4.559322033898305	DHS w/out footprints
4.304	DHS w/out footprints
4.464730290456432	DHS w/out footprints
4.409836065573771	DHS w/out footprints
4.464730290456432	DHS w/out footprints
4.803571428571429	DHS w/out footprints
4.782222222222222	DHS w/out footprints
4.637931034482759	DHS w/out footprints
4.890909090909091	DHS w/out footprints
4.618025751072961	DHS w/out footprints
4.502092050209205	DHS w/out footprints
4.391836734693878	DHS w/out footprints
4.446280991735537	DHS w/out footprints
4.719298245614035	DHS w/out footprints
5.099526066350711	DHS w/out footprints
4.391836734693878	DHS w/out footprints
4.409836065573771	DHS w/out footprints
5.148325358851674	DHS w/out footprints
4.740088105726873	DHS w/out footprints
4.3562753036437245	DHS w/out footprints
4.719298245614035	DHS w/out footprints
4.203125	DHS w/out footprints
4.637931034482759	DHS w/out footprints
4.391836734693878	DHS w/out footprints
4.286852589641434	DHS w/out footprints
4.138461538461539	DHS w/out footprints
4.698689956331878	DHS w/out footprints
4.559322033898305	DHS w/out footprints
5.123809523809523	DHS w/out footprints
4.9132420091324205	DHS w/out footprints
4.698689956331878	DHS w/out footprints
4.391836734693878	DHS w/out footprints
3.9851851851851854	DHS w/out footprints
4.761061946902655	DHS w/out footprints
4.578723404255319	DHS w/out footprints
4.154440154440154	DHS w/out footprints
4.540084388185654	DHS w/out footprints
4.559322033898305	DHS w/out footprints
4.483333333333333	DHS w/out footprints
4.304	DHS w/out footprints
4.598290598290598	DHS w/out footprints
4.483333333333333	DHS w/out footprints
4.409836065573771	DHS w/out footprints
4.2362204724409445	DHS w/out footprints
4.698689956331878	DHS w/out footprints
4.890909090909091	DHS w/out footprints
4.935779816513762	DHS w/out footprints
4.540084388185654	DHS w/out footprints
4.698689956331878	DHS w/out footprints
5.0754716981132075	DHS w/out footprints
4.719298245614035	DHS w/out footprints
4.391836734693878	DHS w/out footprints
4.138461538461539	DHS w/out footprints
5.38	DHS w/out footprints
4.5210084033613445	DHS w/out footprints
4.321285140562249	DHS w/out footprints
4.890909090909091	DHS w/out footprints
4.26984126984127	DHS w/out footprints
4.761061946902655	DHS w/out footprints
4.678260869565217	DHS w/out footprints
4.170542635658915	DHS w/out footprints
4.391836734693878	DHS w/out footprints
4.5210084033613445	DHS w/out footprints
4.719298245614035	DHS w/out footprints
4.446280991735537	DHS w/out footprints
3.9413919413919416	DHS w/out footprints
4.935779816513762	DHS w/out footprints
4.014925373134329	DHS w/out footprints
4.338709677419355	DHS w/out footprints
4.618025751072961	DHS w/out footprints
4.981481481481482	DHS w/out footprints
4.782222222222222	DHS w/out footprints
4.483333333333333	DHS w/out footprints
3.927007299270073	DHS w/out footprints
4.26984126984127	DHS w/out footprints
4.761061946902655	DHS w/out footprints
4.658008658008658	DHS w/out footprints
4.338709677419355	DHS w/out footprints
4.846846846846847	DHS w/out footprints
4.203125	DHS w/out footprints
4.658008658008658	DHS w/out footprints
4.658008658008658	DHS w/out footprints
4.782222222222222	DHS w/out footprints
4.304	DHS w/out footprints
4.719298245614035	DHS w/out footprints
4.304	DHS w/out footprints
4.761061946902655	DHS w/out footprints
5.02803738317757	DHS w/out footprints
4.170542635658915	DHS w/out footprints
4.740088105726873	DHS w/out footprints
4.825112107623318	DHS w/out footprints
4.559322033898305	DHS w/out footprints
4.658008658008658	DHS w/out footprints
4.138461538461539	DHS w/out footprints
4.321285140562249	DHS w/out footprints
4.9132420091324205	DHS w/out footprints
4.981481481481482	DHS w/out footprints
4.26984126984127	DHS w/out footprints
4.598290598290598	DHS w/out footprints
4.559322033898305	DHS w/out footprints
5.248780487804878	DHS w/out footprints
4.559322033898305	DHS w/out footprints
4.304	DHS w/out footprints
4.1226053639846745	DHS w/out footprints
4.483333333333333	DHS w/out footprints
4.464730290456432	DHS w/out footprints
4.540084388185654	DHS w/out footprints
4.618025751072961	DHS w/out footprints
4.761061946902655	DHS w/out footprints
4.868778280542986	DHS w/out footprints
3.85663082437276	DHS w/out footprints
4.321285140562249	DHS w/out footprints
4.373983739837398	DHS w/out footprints
4.935779816513762	DHS w/out footprints
4.286852589641434	DHS w/out footprints
4.060377358490566	DHS w/out footprints
4.540084388185654	DHS w/out footprints
4.409836065573771	DHS w/out footprints
4.846846846846847	DHS w/out footprints
4.464730290456432	DHS w/out footprints
4.252964426877471	DHS w/out footprints
4.252964426877471	DHS w/out footprints
4.618025751072961	DHS w/out footprints
4.618025751072961	DHS w/out footprints
4.483333333333333	DHS w/out footprints
5.248780487804878	DHS w/out footprints
4.483333333333333	DHS w/out footprints
4.170542635658915	DHS w/out footprints
4.719298245614035	DHS w/out footprints
4.890909090909091	DHS w/out footprints
4.825112107623318	DHS w/out footprints
4.219607843137255	DHS w/out footprints
4.2362204724409445	DHS w/out footprints
4.373983739837398	DHS w/out footprints
4.658008658008658	DHS w/out footprints
4.286852589641434	DHS w/out footprints
5.223300970873787	DHS w/out footprints
4.26984126984127	DHS w/out footprints
4.42798353909465	DHS w/out footprints
4.678260869565217	DHS w/out footprints
4.761061946902655	DHS w/out footprints
4.578723404255319	DHS w/out footprints
4.338709677419355	DHS w/out footprints
4.42798353909465	DHS w/out footprints
4.409836065573771	DHS w/out footprints
4.559322033898305	DHS w/out footprints
4.95852534562212	DHS w/out footprints
4	DHS w/out footprints
4.483333333333333	DHS w/out footprints
4.698689956331878	DHS w/out footprints
4.106870229007634	DHS w/out footprints
4.658008658008658	DHS w/out footprints
4.138461538461539	DHS w/out footprints
4.391836734693878	DHS w/out footprints
4.219607843137255	DHS w/out footprints
4.598290598290598	DHS w/out footprints
3.9413919413919416	DHS w/out footprints
4.483333333333333	DHS w/out footprints
4.26984126984127	DHS w/out footprints
4.464730290456432	DHS w/out footprints
4.890909090909091	DHS w/out footprints
4.559322033898305	DHS w/out footprints
4.578723404255319	DHS w/out footprints
4.3562753036437245	DHS w/out footprints
4.5210084033613445	DHS w/out footprints
4.203125	DHS w/out footprints
4.3562753036437245	DHS w/out footprints
5.148325358851674	DHS w/out footprints
4.825112107623318	DHS w/out footprints
4.0299625468164795	DHS w/out footprints
4.286852589641434	DHS w/out footprints
4.203125	DHS w/out footprints
4.598290598290598	DHS w/out footprints
4.483333333333333	DHS w/out footprints
4.1226053639846745	DHS w/out footprints
4.373983739837398	DHS w/out footprints
4.464730290456432	DHS w/out footprints
4.559322033898305	DHS w/out footprints
4.154440154440154	DHS w/out footprints
4.618025751072961	DHS w/out footprints
4.186770428015564	DHS w/out footprints
4.540084388185654	DHS w/out footprints
4.803571428571429	DHS w/out footprints
4.868778280542986	DHS w/out footprints
4.559322033898305	DHS w/out footprints
5.02803738317757	DHS w/out footprints
4.598290598290598	DHS w/out footprints
4.3562753036437245	DHS w/out footprints
4.825112107623318	DHS w/out footprints
4.321285140562249	DHS w/out footprints
4.338709677419355	DHS w/out footprints
4.060377358490566	DHS w/out footprints
4.598290598290598	DHS w/out footprints
4.761061946902655	DHS w/out footprints
4.719298245614035	DHS w/out footprints
4.578723404255319	DHS w/out footprints
4.338709677419355	DHS w/out footprints
4.658008658008658	DHS w/out footprints
4.740088105726873	DHS w/out footprints
4.719298245614035	DHS w/out footprints
4.846846846846847	DHS w/out footprints
4.740088105726873	DHS w/out footprints
4.698689956331878	DHS w/out footprints
4.409836065573771	DHS w/out footprints
4.5210084033613445	DHS w/out footprints
4.219607843137255	DHS w/out footprints
4.304	DHS w/out footprints
4.740088105726873	DHS w/out footprints
4.782222222222222	DHS w/out footprints
4.2362204724409445	DHS w/out footprints
4.5210084033613445	DHS w/out footprints
4.252964426877471	DHS w/out footprints
4.0299625468164795	DHS w/out footprints
4.868778280542986	DHS w/out footprints
4.338709677419355	DHS w/out footprints
4.252964426877471	DHS w/out footprints
4.391836734693878	DHS w/out footprints
4.846846846846847	DHS w/out footprints
3.970479704797048	DHS w/out footprints
4.637931034482759	DHS w/out footprints
5.326732673267327	DHS w/out footprints
4.803571428571429	DHS w/out footprints
5.123809523809523	DHS w/out footprints
4.719298245614035	DHS w/out footprints
4.95852534562212	DHS w/out footprints
4.464730290456432	DHS w/out footprints
